Collection Pillar,Recommendation,Sell Priority,Museum Score,Investment Score,Liquidity Score,Duplicate,Duplicate Count,Upgrade Candidate,Needs Grading,Needs Photo,Needs Verification,Verification Notes,Series,Issue Full,Issue,Issue Ext,Title,Edition / Variant,Publisher,Series Group,Age,Release Date,Cover Date,Publication Date,Barcode,Quantity,Location,Current Price,Cover Price,Purchase Price,Purchase Date,Is Key Comic,Key Comic Reason,Key Categories,Story Arc,Crossover,Genres,Slab Status,Grade Rating,Assumed Grade,Signees,Tags,Cover Image URL,CLZ Hash,BP Comic ID,BP Series ID,Added Date,Modified Date,Format,Collection Status,Collection,Read It,Country,Language,Value Locked,Raw XML Index
X-Men,Sell Duplicate,High,28,22,70,Yes,2,No,No,No,Yes,"Assumed NM, not verified; Duplicate/quantity check",Weapons of Mutant Destruction: Alpha,1A,1,A,Part One,Regular Skan Cover,Marvel Comics,,Modern,"Jun 21, 2017",Aug 2017,Aug 2017,75960608743300111,1,High Value Bin,36.0,4.99,0.0,,No,,,Weapons Of Mutant Destruction,Weapons of Mutant Destruction,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/64/64_485164_0_.jpg,4c446c866b374e128abfc06609ac627c,485164,75022,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1
Sci-Fi,Sell Duplicate,High,38,47,75,Yes,2,No,No,No,Yes,"Assumed NM, not verified; Duplicate/quantity check",Captain America: Steve Rogers,1A,1,A,"""Hail Hydra""",Regular Jesus Saiz Cover,Marvel Comics,,Modern,"May 25, 2016",Jul 2016,Jul 2016,75960608457900111,2,10,42.0,4.99,0.0,,Minor,Captain America revealed as Hydra member,Story event,,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/d8/d8_439740_0_CaptainAmericaSteveRogers1A.jpg,1b3b1b31748e446b971eaa0cbe1dd82e,439740,68284,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,2
X-Men,Sell Duplicate,High,28,22,70,Yes,2,No,No,No,Yes,"Assumed NM, not verified; Duplicate/quantity check",Weapons of Mutant Destruction: Alpha,1A,1,A,Part One,Regular Skan Cover,Marvel Comics,,Modern,"Jun 21, 2017",Aug 2017,Aug 2017,75960608743300111,1,High Value Bin,36.0,4.99,0.0,,No,,,Weapons Of Mutant Destruction,Weapons of Mutant Destruction,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/64/64_485164_0_.jpg,f0bca848ee574e0ca037d2dda40e8a09,485164,75022,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,3
Spider-Man,Verify then Lot,High,25,10,55,No,1,No,No,No,Yes,"Assumed NM, not verified",Hulk,4B,4,B,,Variant Ema Lupacchino Venomized Cover,Marvel Comics,,Modern,"Mar 22, 2017",,,75960608612200421,1,21,0.0,3.99,3.99,,No,,,,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/98/98_473827_0_Hulk4B.jpg,e12451fe394d4f268f8ba01174121c83,473827,72150,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,4
X-Men,Verify then Lot,High,25,0,55,No,1,No,No,No,Yes,"Assumed NM, not verified","Deadpool, Vol. 4",41,41,,"Wade's No Good, Horrible, Very Bad Day",,Marvel Comics,Deadpool,Modern,"Jan 28, 2015",Mar 2015,Mar 2015,75960607905604111,1,16,0.0,3.99,3.99,,No,,,,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/93/93_387935_0_WadesNoGoodHorribleVeryBadDay.jpg,5ff13822ab2a4b1f920cad91d6a4857a,387935,47245,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,5
Cover Art & Favorite Artists,Verify then Lot,High,35,10,40,No,1,No,No,No,Yes,"Assumed NM, not verified","Ant-Man, Vol. 1",2E,2,E,,Mark Brooks 2nd Printing Variant Cover,Marvel Comics,,Modern,"Feb 04, 2015","Feb 04, 2015","Feb 04, 2015",75960608162200212,1,,0.0,3.99,3.99,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/99/99_408990_0_.jpg,1d07910787c74118b3e83f56f18daf90,408990,58832,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,6
X-Men,Verify then Lot,High,35,10,55,No,1,No,No,No,Yes,"Assumed NM, not verified",Wolverine: Infinity Watch,1D,1,D,,Variant Jee Hyung Lee Skrulls Cover,Marvel Comics,,Modern,"Feb 20, 2019",,,75960609219200141,1,31,0.0,3.99,3.99,,No,,,,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/b8/b8_600678_0_WolverineInfinityWatch1D.jpg,bad96aed60c244ffa46a05bae57bda2d,600678,87909,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,7
X-Men,Inventory Review,Medium,33,22,60,No,1,No,No,No,Yes,"Assumed NM, not verified",Wolverine: Infinity Watch,1A,1,A,,Regular Giuseppe Camuncoli Cover,Marvel Comics,,Modern,"Feb 20, 2019",Apr 2019,Apr 2019,75960609219200111,1,31,22.0,3.99,0.0,,No,,,,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/4e/4e_600676_0_WolverineInfinityWatch1A.jpg,cbee0e23ec484820babb1f47cbd66c87,600676,87909,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,8
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",Marvel's Avengers: Endgame Prelude,2,2,,,,Marvel Comics,,Modern,"Jan 09, 2019",Mar 2019,Mar 2019,75960609138600211,1,,0.0,3.99,3.99,,No,,,,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/42/42_594587_0_MarvelsAvengersUntitledPrelude.jpg,97178f08802e4b878868435a5e6aacae,594587,86792,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,9
Spider-Man,Sell Duplicate,High,28,22,70,Yes,2,No,No,No,Yes,"Assumed NM, not verified; Duplicate/quantity check",Edge of Venomverse,1A,1,A,,Regular Francesco Mattina Cover,Marvel Comics,,Modern,"Jun 28, 2017",Aug 2017,Aug 2017,75960608738900111,1,17,26.0,3.99,0.0,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/31/31_485134_0_.jpg,ea1a5d20ecbe4fa596e5cec416652d81,485134,75017,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,14
